,Date,Senti_Score,Open,High,Low,Close,Volume,EachStock,KOSPI
166,2020-09-01,0.05454545535824515,30250,31100,30200,30950,442959,0.026533996683250516,0.0101
167,2020-09-02,0.07272727381099355,31300,32800,31000,32300,1407330,0.043618739903069415,0.0063
168,2020-09-03,0.07142857249294007,32650,32650,32000,32250,587589,-0.001547987616099089,0.013300000000000001
169,2020-09-04,0.08333333457509674,31100,31850,31000,31400,663119,-0.02635658914728678,-0.0115
170,2020-09-07,0.0,31400,32400,31100,32150,646773,0.023885350318471277,0.0067
171,2020-09-08,0.05000000074505805,32300,32600,31500,31650,521844,-0.015552099533437058,0.0074
172,2020-09-09,0.025000000372529026,31000,31250,30900,31050,411517,-0.018957345971563955,-0.0109
173,2020-09-10,0.0,31500,31550,31150,31200,464792,0.004830917874396157,0.0087
174,2020-09-11,0.0,31000,31400,30800,31400,324887,0.0064102564102563875,0.0001
175,2020-09-14,0.1000000014901161,31450,31950,31350,31950,433850,0.01751592356687892,0.013000000000000001
176,2020-09-15,0.0,32200,32250,31500,31700,400533,-0.007824726134585291,0.006500000000000001
177,2020-09-16,0.05000000074505805,31650,32200,31450,31800,358136,0.003154574132492094,-0.0031
178,2020-09-17,0.0,31900,32200,31350,31400,408632,-0.012578616352201255,-0.012199999999999999
179,2020-09-18,0.06666666766007741,31400,31600,31000,31200,312036,-0.006369426751592355,0.0026
180,2020-09-21,0.033333333830038704,31200,31450,30600,30700,339352,-0.01602564102564108,-0.0095
181,2020-09-22,-0.05000000074505805,30400,30650,29950,29950,507456,-0.02442996742671011,-0.023799999999999998
182,2020-09-23,0.0,30100,30200,29550,29800,414131,-0.005008347245408995,0.0003
183,2020-09-24,0.0,29500,29650,29150,29200,420567,-0.020134228187919434,-0.0259
184,2020-09-25,-0.1000000014901161,29650,29650,29200,29400,255595,0.006849315068493178,0.0027
185,2020-09-28,0.0,29600,29800,29400,29500,253913,0.00340136054421758,0.0129
186,2020-09-29,0.0,29950,30700,29700,30600,491400,0.03728813559322042,0.0086
187,2020-10-05,0.1000000014901161,30600,31150,30600,31100,298934,0.016339869281045694,0.0129
188,2020-10-06,0.0,31250,31300,30700,30750,273546,-0.0112540192926045,0.0034000000000000002
189,2020-10-07,0.1000000014901161,30650,30850,30400,30850,231784,0.003252032520325132,0.0089
190,2020-10-08,-0.1000000014901161,31200,32000,31100,31750,950067,0.029173419773095732,0.0021
191,2020-10-12,0.0,32150,33000,32000,32900,962191,0.03622047244094495,0.0049
192,2020-10-13,0.07500000111758708,32950,33000,32000,32300,470735,-0.018237082066869248,-0.0002
193,2020-10-14,0.1000000014901161,32000,32250,31550,31850,440418,-0.01393188854489169,-0.009399999999999999
194,2020-10-15,0.0,31500,32450,31400,32450,472629,0.018838304552590168,-0.008100000000000001
195,2020-10-16,-0.1000000014901161,32300,32450,31900,32150,302235,-0.009244992295839749,-0.0083
196,2020-10-19,0.05000000074505805,32300,33150,32200,32900,692877,0.023328149300155587,0.0022
197,2020-10-20,0.0,32700,33100,32400,33100,391731,0.006079027355623046,0.005
198,2020-10-21,0.0,33200,33350,32850,33300,369185,0.0060422960725075026,0.0053
199,2020-10-22,0.20000000298023224,33050,34500,32850,34150,955225,0.02552552552552556,-0.0067
200,2020-10-23,0.0,34150,34600,33700,34250,535887,0.002928257686676483,0.0024
201,2020-10-26,0.0,34550,34600,32950,33100,470731,-0.033576642335766405,-0.0072
202,2020-10-27,0.0,32600,33100,32250,32400,450078,-0.02114803625377648,-0.005600000000000001
203,2020-10-28,0.1000000014901161,32400,33800,32400,33600,390446,0.03703703703703698,0.0062
204,2020-10-29,0.0,32850,33500,32400,33400,471450,-0.005952380952380931,-0.0079
205,2020-10-30,0.0,33300,33300,32000,32100,403985,-0.038922155688622784,-0.0256
206,2020-11-02,0.15000000223517415,32200,32850,32200,32500,192179,0.012461059190031154,0.0146
207,2020-11-03,0.05000000074505805,32750,33200,32450,33050,316505,0.01692307692307682,0.018799999999999997
208,2020-11-04,0.0,33200,33400,32800,32900,288289,-0.004538577912254205,0.006
209,2020-11-05,0.0,33100,33550,32800,33400,369355,0.015197568389057725,0.024
210,2020-11-06,0.0,33650,33650,32800,32950,320512,-0.013473053892215536,0.0011
211,2020-11-09,0.2000000029802322,33200,33650,33100,33450,348265,0.015174506828528056,0.0127
212,2020-11-10,0.13333333532015482,34100,34250,33750,33950,566978,0.014947683109117982,0.0023
213,2020-11-11,0.1000000014901161,34100,35950,34000,35750,1014117,0.05301914580265099,0.013500000000000002
214,2020-11-12,0.06666666766007741,35750,35750,34950,35500,640275,-0.006993006993006978,-0.0040999999999999995
215,2020-11-13,0.1000000014901161,35200,35750,34900,35250,485588,-0.007042253521126751,0.0074
216,2020-11-16,0.1000000014901161,35950,38750,35800,38250,1591487,0.0851063829787233,0.0197
217,2020-11-17,0.12500000186264512,38600,39150,37800,38800,880784,0.01437908496732021,-0.0015
