,keyword,company,종목코드
219,가스,한진중공업홀딩스,3480
220,통신,제노코,361390
221,통신,원포유,122830
222,통신,피피아이,62970
223,통신,다보링크,340360
224,통신,머큐리,100590
225,통신,알로이스,297570
226,통신,유비쿼스,264450
227,통신,서진시스템,178320
228,통신,유니온커뮤니티,203450
229,통신,인텔리안테크,189300
230,통신,장원테크,174880
231,통신,씨앤에스링크,245450
232,통신,AP위성,211270
233,통신,슈프리마,236200
234,통신,에치에프알,230240
235,통신,HDC아이콘트롤스,39570
236,통신,인포마크,175140
237,통신,에이텍티앤,224110
238,통신,RFHIC,218410
239,통신,이노인스트루먼트,215790
240,통신,텔콘RF제약,200230
241,통신,THQ,192410
242,통신,오이솔루션,138080
243,통신,위월드,140660
244,통신,코셋,189350
245,통신,디엠티,134580
246,통신,파이오링크,170790
247,통신,비덴트,121800
248,통신,아이디스,143160
249,통신,옵티시스,109080
250,통신,모베이스,101330
251,통신,우리넷,115440
252,통신,파인테크닉스,106240
253,통신,유비쿼스홀딩스,78070
254,통신,슈프리마에이치큐,94840
255,통신,텔레필드,91440
256,통신,에스맥,97780
257,통신,에스코넥,96630
258,통신,서원인텍,93920
259,통신,한전KPS,51600
260,통신,일진파워,94820
261,통신,성우전자,81580
262,통신,에프알텍,73540
263,통신,팅크웨어,84730
264,통신,에이스테크,88800
265,통신,인콘,83640
266,통신,EMW,79190
267,통신,아리온,58220
268,통신,가온미디어,78890
269,통신,쏠리드,50890
270,통신,이노와이어리스,73490
271,통신,코드네이처,78940
272,통신,CS,65770
273,통신,라이트론,69540
274,통신,삼영이엔씨,65570
275,통신,알에프텍,61040
276,통신,LG전자,66570
277,통신,인탑스,49070
278,통신,KT서브마린,60370
279,통신,백금T&A,46310
280,통신,일야,58450
281,통신,코위버,56360
282,통신,스카이문스테크놀로지,33790
283,통신,금화피에스시,36190
284,통신,현대에이치티,39010
285,통신,다산네트웍스,39560
286,통신,파인디지털,38950
287,통신,케이엠더블유,32500
288,통신,코맥스,36690
289,통신,심텍홀딩스,36710
290,통신,삼지전자,37460
291,통신,기산텔레콤,35460
292,통신,코콤,15710
293,통신,삼진,32750
294,통신,릭스솔루션,29480
295,통신,휴니드테크놀러지스,5870
296,통신,대동전자,8110
297,통신,삼성전자,5930
298,통신,대유플러스,300
299,이미지,N,0
300,공기,N,0
301,감지,N,0
302,패널,엘에이티,311060
303,패널,에스와이,109610
304,패널,LG전자,66570
305,서버,N,0
306,배출,N,0
307,분리,N,0
308,금속,해성티피씨,59270
309,금속,테크트랜스,258050
310,금속,포인트엔지니어링,256630
311,금속,신진에스엠,138070
312,금속,포메탈,119500
313,금속,조선선재,120030
314,금속,동일금속,109860
315,금속,티플랙스,81150
316,금속,풍강,93380
317,금속,테라사이언스,73640
318,금속,케이피티유,54410
319,금속,현진소재,53660
320,금속,태웅,44490
321,금속,태양,53620
322,금속,승일,49830
323,금속,엠투엔,33310
324,금속,와이지-원,19210
325,금속,서원,21050
326,금속,에이프로젠 MED,7460
327,금속,PN풍년,24940
328,금속,케이피에프,24880
329,금속,대륙제관,4780
330,금속,영신금속,7530
331,금속,대동금속,20400
332,금속,세명전기,17510
333,금속,삼화왕관,4450
334,금속,대림통상,6570
335,디바이스,N,0
336,디스플레이,솔브레인,357780
337,디스플레이,케이씨텍,281820
338,디스플레이,루켄테크놀러지스,162120
339,디스플레이,이녹스첨단소재,272290
340,디스플레이,와이엠티,251370
341,디스플레이,유니트론텍,142210
342,디스플레이,예스티,122640
343,디스플레이,영우디에스피,143540
344,디스플레이,LG전자,66570
345,디스플레이,미코,59090
346,발광,N,0
347,반도체,엘비루셈,376190
348,반도체,서울바이오시스,92190
349,반도체,현대에너지솔루션,322000
350,반도체,라닉스,317120
351,반도체,덕산테코피아,317330
352,반도체,프로이천,321260
353,반도체,천보,278280
