Date,Open,High,Low,Close,Volume,EachStock,KOSPI,Senti_Score
2020-01-02,290618,292581,286199,288164,30812,-0.01011648557756717,-0.0102,0.3000000119209289
2020-01-03,293072,293563,288163,291109,30873,0.010219874793520267,0.0006,0.0
2020-01-06,285709,291109,284236,284727,30086,-0.021923059747379847,-0.0098,0.0
2020-01-07,287181,288654,284236,286691,22012,0.006897835470468294,0.0095,0.3000000119209289
2020-01-08,284727,285218,277363,280800,52199,-0.02054825578759012,-0.0111,0.2000000029802322
2020-01-09,284727,285709,281290,282764,28683,0.006994301994301955,0.0163,0.1000000014901161
2020-01-10,282763,289145,280309,287182,36756,0.015624336902859026,0.0091,0.0
2020-01-13,287672,294545,287672,293073,40500,0.020513124081592782,0.0104,0.2500000037252903
2020-01-14,294545,296509,288654,290618,34554,-0.008376752549706046,0.0043,0.0
2020-01-15,291600,295036,289636,294055,22480,0.0118265214129889,-0.0034999999999999996,0.0
2020-01-16,294054,294054,290618,292091,28018,-0.00667902263182063,0.0077,0.0
2020-01-17,291600,293563,288654,289145,25366,-0.010085897887986972,0.0011,0.05000000074505805
2020-01-20,289636,292090,285709,289145,31199,0.0,0.0054,0.0
2020-01-21,287672,293563,287672,289636,30504,0.0016981099448374337,-0.0101,0.0
2020-01-22,292581,297490,291109,294055,44023,0.015257081302048059,0.0123,0.2000000029802322
2020-01-23,293072,293072,287672,289145,46125,-0.01669755657955141,-0.009300000000000001,0.0
2020-01-28,286690,290127,279818,281782,47207,-0.02546473222777501,-0.030899999999999997,0.0
2020-01-29,283254,283745,277854,282764,43584,0.003484963553385345,0.0039000000000000003,0.0
2020-01-30,279818,288654,279327,282764,43597,0.0,-0.0171,0.2000000029802322
2020-01-31,283254,285709,275890,275891,41995,-0.024306488803383708,-0.013500000000000002,0.4000000059604645
2020-02-03,272945,277854,270000,275891,43224,0.0,-0.0001,0.2000000029802322
2020-02-04,275400,279818,275400,278836,32280,0.0106745055112345,0.0184,0.5
2020-02-05,279327,281781,275400,276382,37882,-0.00880087219727721,0.0036,0.0
2020-02-06,279818,289145,277363,287182,40587,0.03907635084773964,0.0288,0.2000000029802322
2020-02-07,284236,292090,284236,291109,44670,0.013674255350265785,-0.0072,0.3000000119209289
2020-02-10,291109,300436,287181,292582,71267,0.0050599603584911,-0.0049,0.2000000029802322
2020-02-11,293563,297981,292581,294545,31987,0.006709230232891938,0.01,0.1000000014901161
2020-02-12,294545,297490,293072,295527,22603,0.003333955762277352,0.0069,0.1000000014901161
2020-02-13,292581,295527,289636,290618,41590,-0.01661100339393695,-0.0024,0.05000000074505805
2020-02-14,288654,290618,286200,287182,36094,-0.01182308046989522,0.0048,0.0
2020-02-17,285218,289145,283745,283745,41186,-0.011968020279822578,-0.0006,0.0
2020-02-18,283254,284727,279327,280309,44290,-0.012109464483955668,-0.0148,0.0
2020-02-19,283254,284727,279818,280800,37948,0.0017516383705125094,0.0007000000000000001,0.0
2020-02-20,280799,280799,275400,275891,41991,-0.01748219373219373,-0.0067,0.0
2020-02-21,274909,275400,270490,270982,41224,-0.01779325893196948,-0.0149,0.1000000014901161
2020-02-24,261163,264600,256254,256255,64895,-0.0543467831811707,-0.0387,0.0
2020-02-25,252327,262145,251836,261164,45599,0.019156699381475573,0.0118,0.0
2020-02-26,260672,263127,256745,260673,35681,-0.001880044722856189,-0.0128,0.0
2020-02-27,260672,271963,259690,265091,53509,0.01694843731418283,-0.0105,0.05000000074505805
2020-02-28,261163,263618,253309,256255,69407,-0.03333195016051094,-0.033,0.0
2020-03-02,260672,263127,255272,261655,31176,0.021072759555911036,0.0078000000000000005,0.0
2020-03-03,263618,269018,261654,261655,50940,0.0,0.0058,0.0
2020-03-04,261654,267054,261654,266073,34731,0.01688482925990331,0.022400000000000003,0.2000000029802322
2020-03-05,270000,279327,267054,278836,68356,0.04796803884648204,0.0126,0.1000000014901161
2020-03-06,275890,280799,273927,275891,44457,-0.01056176390423047,-0.0216,0.0
2020-03-09,273436,274418,266072,271964,35226,-0.014233882221602046,-0.04190000000000001,0.0
